Hugo_Symbol,ensembl_gene_id,start_position,end_position,strand,transcript_count,percentage_gene_gc_content,gene_biotype
DYDC1,ENSG00000170788,80336105,80356755,-1,5,40.36,protein_coding
DYDC2,ENSG00000133665,80344745,80368073,1,7,43.12,protein_coding
DYM,ENSG00000141627,49041474,49461347,-1,20,38.58,protein_coding
DYNAP,ENSG00000178690,54587757,54599493,1,3,36.3,protein_coding
DYNC1H1,ENSG00000197102,101964510,102056443,1,42,47.4,protein_coding
DYNC1I1,ENSG00000158560,95772506,96110322,1,12,38.59,protein_coding
DYNC1I2,ENSG00000077380,171687409,171748420,1,25,36.49,protein_coding
DYNC1I2P1,ENSG00000225137,50264978,50266815,1,1,43.2,processed_pseudogene
DYNC1LI1,ENSG00000144635,32525971,32570874,-1,8,39.16,protein_coding
DYNC1LI2,ENSG00000135720,66720893,66751798,-1,15,45.09,protein_coding
DYNC2H1,ENSG00000187240,103109410,103479863,1,13,35.1,protein_coding
DYNC2LI1,ENSG00000138036,43774039,43810010,1,10,37.57,protein_coding
DYNLL1,ENSG00000088986,120469850,120498493,1,11,47.04,protein_coding
DYNLL1P1,ENSG00000205579,81246295,81246563,-1,1,48.33,processed_pseudogene
DYNLL1P2,ENSG00000258605,81412970,81413239,1,1,48.15,processed_pseudogene
DYNLL1P3,ENSG00000235282,18513118,18513383,1,1,44.74,processed_pseudogene
DYNLL1P4,ENSG00000257231,113789542,113789807,-1,1,44.36,processed_pseudogene
DYNLL1P5,ENSG00000242151,154657294,154657563,1,1,43.7,processed_pseudogene
DYNLL1P6,ENSG00000248820,100041841,100042104,-1,1,43.94,processed_pseudogene
DYNLL1P7,ENSG00000230614,85381118,85381375,-1,1,47.29,processed_pseudogene
DYNLL2,ENSG00000264364,58083415,58095536,1,1,49.02,protein_coding
DYNLRB1,ENSG00000125971,34516409,34540958,1,4,48.33,protein_coding
DYNLRB2,ENSG00000168589,80540734,80550760,1,6,38.52,protein_coding
DYNLT1,ENSG00000146425,158636474,158644739,-1,3,45.31,protein_coding
DYNLT3,ENSG00000165169,37836757,37847637,-1,3,37.62,protein_coding
DYNLT3P1,ENSG00000232241,17479085,17479431,-1,1,44.67,processed_pseudogene
DYNLT3P2,ENSG00000229758,128199901,128200195,1,1,42.71,processed_pseudogene
DYRK1A,ENSG00000157540,37365573,37526358,1,24,39.17,protein_coding
DYRK1B,"ENSG00000105204, ENSG00000281320",39825350,39834201,-1,8,57.17,protein_coding
DYRK2,ENSG00000127334,67648338,67665406,1,6,43.53,protein_coding
DYRK3,ENSG00000143479,206635536,206684419,1,6,44.46,protein_coding
DYRK4,ENSG00000010219,4562204,4615302,1,17,42.77,protein_coding
DYSF,ENSG00000135636,71453722,71686768,1,19,49.64,protein_coding
DYTN,ENSG00000232125,206651621,206718396,-1,3,38.44,protein_coding
DZANK1,ENSG00000089091,18383367,18467281,-1,11,41.71,protein_coding
DZIP1,ENSG00000134874,95578202,95644703,-1,8,41.42,protein_coding
DZIP1L,ENSG00000158163,138061990,138115818,-1,9,45.71,protein_coding
DZIP3,ENSG00000198919,108589682,108694846,1,6,35.7,protein_coding
E2F1,ENSG00000101412,33675683,33686404,-1,1,55.58,protein_coding
E2F2,"ENSG00000007968, ENSG00000282899","23506430, 23513894","23531220, 23538684",-1,2,51.66,protein_coding
E2F3,ENSG00000112242,20401906,20493715,1,3,42.72,protein_coding
E2F3-IT1,ENSG00000224707,20437821,20440178,1,1,39.27,sense_intronic
E2F3P1,ENSG00000267046,35490009,35491238,1,1,50.08,processed_pseudogene
E2F3P2,ENSG00000203435,195994259,195995680,-1,1,47.75,processed_pseudogene
E2F4,ENSG00000205250,67192169,67198918,1,13,56.55,protein_coding
E2F4P1,ENSG00000231276,39553811,39554943,1,1,54.37,processed_pseudogene
E2F5,ENSG00000133740,85177225,85217158,1,8,39.49,protein_coding
E2F6,ENSG00000169016,11444375,11466177,-1,12,41.96,protein_coding
E2F6P1,ENSG00000234764,18833694,18834438,1,1,45.23,processed_pseudogene
E2F6P2,ENSG00000224688,21141624,21142371,-1,1,45.32,processed_pseudogene
E2F6P3,ENSG00000226885,21268161,21268903,1,1,45.22,processed_pseudogene
E2F6P4,ENSG00000231513,136097835,136098348,-1,1,42.41,processed_pseudogene
E2F7,ENSG00000165891,77021247,77065580,-1,7,40.18,protein_coding
E2F8,ENSG00000129173,19224063,19241620,-1,5,41.92,protein_coding
E4F1,ENSG00000167967,2223566,2235742,1,9,61.58,protein_coding
EAF1,ENSG00000144597,15427355,15450635,1,3,43.63,protein_coding
EAF1-AS1,ENSG00000249786,15436171,15455940,-1,13,47.32,antisense
EAF2,ENSG00000145088,121835183,121886526,1,5,36.14,protein_coding
EAPP,ENSG00000129518,34515929,34539711,-1,5,44.09,protein_coding
EARS2,ENSG00000103356,23522014,23557731,-1,17,47.93,protein_coding
EBAG9,ENSG00000147654,109539711,109565996,1,10,34.99,protein_coding
EBAG9P1,ENSG00000233690,99697407,99697949,-1,1,40.52,processed_pseudogene
EBF1,ENSG00000164330,158695916,159099761,-1,11,39.97,protein_coding
EBF2,ENSG00000221818,25841730,26045397,-1,4,42.02,protein_coding
EBF3,ENSG00000108001,129835283,129963841,-1,3,48.8,protein_coding
EBF4,ENSG00000088881,2692878,2760108,1,11,49.22,protein_coding
EBI3,ENSG00000105246,4229498,4237531,1,2,53.68,protein_coding
EBLN1,ENSG00000223601,22208814,22210021,-1,1,42.05,protein_coding
EBLN2,ENSG00000255423,73061659,73063337,1,1,41.75,protein_coding
EBLN3P,ENSG00000281649,37079857,37090507,1,7,38.61,lincRNA
EBNA1BP2,ENSG00000117395,43164175,43270936,-1,9,44.38,protein_coding
EBP,ENSG00000147155,48521158,48528716,1,6,49.69,protein_coding
EBPL,ENSG00000123179,49660723,49691475,-1,7,45.56,protein_coding
ECD,ENSG00000122882,73130155,73169055,-1,8,39.47,protein_coding
ECE1,ENSG00000117298,21217247,21345572,-1,14,52.21,protein_coding
ECE2,ENSG00000145194,184276011,184293031,1,9,52.92,protein_coding
ECEL1,ENSG00000171551,232479827,232487828,-1,4,64.78,protein_coding
ECEL1P1,ENSG00000204121,232415818,232419816,-1,1,61.64,unprocessed_pseudogene
ECEL1P2,ENSG00000244280,232385750,232387457,-1,2,58.14,transcribed_unprocessed_pseudogene
ECEL1P3,ENSG00000230122,232349754,232351309,-1,1,62.66,unprocessed_pseudogene
ECH1,"ENSG00000104823, ENSG00000282853","38815422, 38815458","38832005, 38832041",-1,17,51.47,protein_coding
ECHDC1,ENSG00000093144,127288710,127343609,-1,23,36,protein_coding
ECHDC2,ENSG00000121310,52895910,52927212,-1,26,47.09,protein_coding
ECHDC3,ENSG00000134463,11742366,11764070,1,5,47.51,protein_coding
ECHS1,ENSG00000127884,133362480,133373689,-1,1,56.3,protein_coding
ECI1,ENSG00000167969,2239395,2252300,-1,7,55.22,protein_coding
ECI2,ENSG00000198721,4115689,4135597,-1,11,41.7,protein_coding
ECM1,ENSG00000143369,150508062,150513789,1,7,55.19,protein_coding
ECM1P1,ENSG00000270639,4768617,4769895,-1,1,52.85,processed_pseudogene
ECM1P2,ENSG00000249995,12639086,12641009,1,1,47.3,processed_pseudogene
ECM2,ENSG00000106823,92493554,92536655,-1,4,38.89,protein_coding
ECPAS,ENSG00000136813,111360692,111484745,-1,6,39.33,protein_coding
ECSCR,ENSG00000249751,139448556,139462743,-1,1,51.11,protein_coding
ECSIT,ENSG00000130159,11505916,11529174,-1,14,50.87,protein_coding
ECT2,ENSG00000114346,172750682,172821474,1,16,34.96,protein_coding
ECT2L,ENSG00000203734,138795926,138904070,1,5,41.45,protein_coding
EDA,ENSG00000158813,69616067,70039469,1,13,38.75,protein_coding
EDA2R,ENSG00000131080,66595637,66639298,-1,4,39.73,protein_coding
EDAR,ENSG00000135960,108894471,108989372,-1,3,48.85,protein_coding
EDARADD,ENSG00000186197,236348257,236502915,1,5,44.77,protein_coding
EDC3,ENSG00000179151,74630558,74696292,-1,19,43.7,protein_coding
EDC4,ENSG00000038358,67873023,67884503,1,14,57.32,protein_coding
EDDM13,ENSG00000267710,56272769,56310450,1,8,45.68,protein_coding
EDDM3A,ENSG00000181562,20745892,20748380,1,1,43.63,protein_coding
EDDM3B,ENSG00000181552,20768427,20770948,1,1,42.98,protein_coding
EDDM3CP,ENSG00000234060,134319654,134320078,-1,1,44,processed_pseudogene
EDDM3DP,ENSG00000258963,20734578,20735011,1,1,44.93,unprocessed_pseudogene
EDEM1,ENSG00000134109,5187646,5219957,1,7,43.38,protein_coding
EDEM2,ENSG00000088298,35115357,35147364,-1,2,45.82,protein_coding
EDEM3,ENSG00000116406,184690231,184754913,-1,6,34.39,protein_coding
EDF1,ENSG00000107223,136862119,136866286,-1,3,57.77,protein_coding
EDIL3,ENSG00000164176,83940554,84384793,-1,4,35.46,protein_coding
EDN1,ENSG00000078401,12290363,12297194,1,1,42.83,protein_coding
EDN2,ENSG00000127129,41478775,41484673,-1,5,56.98,protein_coding
EDN3,ENSG00000124205,59300427,59325992,1,6,49.22,protein_coding
EDNRA,ENSG00000151617,147480917,147544954,1,8,38.78,protein_coding
EDNRB,ENSG00000136160,77895481,77975529,-1,9,38.12,protein_coding
EDNRB-AS1,ENSG00000225579,77828222,77833950,1,1,38.7,lincRNA
EDRF1,ENSG00000107938,125719515,125764143,1,13,39.09,protein_coding
EDRF1-AS1,ENSG00000236991,125725634,125752110,-1,16,39.02,antisense
EEA1,ENSG00000102189,92770637,92929331,-1,5,36.99,protein_coding
EED,ENSG00000074266,86244544,86278813,1,11,37.1,protein_coding
EEF1A1,ENSG00000156508,73515750,73523797,-1,11,47.14,protein_coding
EEF1A1P1,ENSG00000223822,23390258,23390996,1,1,48.44,processed_pseudogene
EEF1A1P10,ENSG00000243746,144647186,144648575,-1,1,46.98,processed_pseudogene
EEF1A1P11,ENSG00000228502,96446930,96448318,1,1,46.72,processed_pseudogene
EEF1A1P12,ENSG00000214199,106697331,106698676,-1,1,46.58,processed_pseudogene
EEF1A1P13,ENSG00000250182,14651941,14653329,-1,1,47.73,processed_pseudogene
EEF1A1P14,ENSG00000233057,194188967,194190342,1,1,46.58,processed_pseudogene
EEF1A1P15,ENSG00000213704,98389512,98390919,1,1,43.32,processed_pseudogene
EEF1A1P16,ENSG00000213235,16990670,16992083,1,1,45.26,processed_pseudogene
EEF1A1P17,ENSG00000257907,43659827,43661101,1,1,45.88,processed_pseudogene
EEF1A1P19,ENSG00000249855,43495073,43496454,-1,1,47.68,processed_pseudogene
EEF1A1P2,ENSG00000258841,81661428,81662874,1,1,45.61,processed_pseudogene
EEF1A1P20,ENSG00000249963,99996547,99997932,1,1,42.57,processed_pseudogene
EEF1A1P21,ENSG00000249542,29748757,29750100,1,1,41.74,processed_pseudogene
EEF1A1P22,ENSG00000259612,52937139,52938518,-1,1,46.81,processed_pseudogene
EEF1A1P24,ENSG00000223668,39358545,39359922,1,1,45.57,processed_pseudogene
EEF1A1P25,ENSG00000241429,138825063,138826329,1,1,45.62,processed_pseudogene
EEF1A1P26,ENSG00000233167,14190795,14192157,1,1,43.14,processed_pseudogene
EEF1A1P27,ENSG00000179460,20582072,20583206,1,1,45.37,processed_pseudogene
EEF1A1P28,ENSG00000237709,88639014,88640416,1,1,45.97,processed_pseudogene
EEF1A1P29,ENSG00000215093,86160264,86161359,-1,1,46.81,processed_pseudogene
EEF1A1P3,ENSG00000232587,28214513,28215897,1,1,45.49,processed_pseudogene
EEF1A1P30,ENSG00000237757,120210461,120212680,-1,1,43.56,processed_pseudogene
EEF1A1P31,ENSG00000237859,154908885,154919103,-1,1,40.07,unprocessed_pseudogene
EEF1A1P32,ENSG00000213046,197688760,197690627,1,1,42.56,unprocessed_pseudogene
EEF1A1P33,ENSG00000258846,96900697,96902698,-1,1,46.35,processed_pseudogene
EEF1A1P34,ENSG00000233324,18782424,18783690,-1,1,47.51,processed_pseudogene
EEF1A1P36,ENSG00000223912,132271982,132273332,1,1,46.34,processed_pseudogene
EEF1A1P37,ENSG00000254124,111225585,111227049,1,1,42.32,processed_pseudogene
EEF1A1P38,ENSG00000261557,27133483,27135179,-1,1,46.55,processed_pseudogene
EEF1A1P39,ENSG00000230125,30301823,30302072,-1,1,42,processed_pseudogene
EEF1A1P4,ENSG00000245205,19456244,19457648,-1,1,46.55,processed_pseudogene
EEF1A1P40,ENSG00000231144,107032248,107032820,1,1,36.65,processed_pseudogene
EEF1A1P41,ENSG00000223600,2995067,2995273,-1,1,45.89,processed_pseudogene
EEF1A1P42,ENSG00000277043,49358185,49360420,-1,1,43.69,processed_pseudogene
EEF1A1P5,ENSG00000196205,133019486,133020874,1,1,48.31,processed_pseudogene
EEF1A1P6,ENSG00000233476,22510616,22511999,-1,1,48.27,processed_pseudogene
EEF1A1P7,ENSG00000268222,35382172,35384052,1,1,45.03,processed_pseudogene
EEF1A1P8,ENSG00000223529,184026369,184027756,-1,1,47.26,processed_pseudogene
EEF1A1P9,ENSG00000249264,105484698,105486080,1,1,47.65,processed_pseudogene
EEF1A2,ENSG00000101210,63488012,63499322,-1,7,63.51,protein_coding
EEF1AKMT1,ENSG00000150456,20728731,20773958,-1,3,41.53,protein_coding
EEF1AKMT2,ENSG00000203791,124748149,124791870,-1,6,40.87,protein_coding
EEF1AKMT3,ENSG00000123427,57771492,57782541,1,5,48.38,protein_coding
EEF1AKMT4,ENSG00000284753,184249650,184259585,1,1,49.21,protein_coding
EEF1AKMT4-ECE2,ENSG00000284917,184249695,184293031,1,1,51.07,protein_coding
EEF1B2,"ENSG00000114942, ENSG00000283391",206159585,206162928,1,11,45.25,protein_coding
EEF1B2P1,ENSG00000231169,52505191,52505862,1,1,45.39,processed_pseudogene
EEF1B2P2,ENSG00000213864,68159218,68159893,-1,1,45.86,processed_pseudogene
EEF1B2P3,ENSG00000232472,24788392,24789069,-1,1,47.05,processed_pseudogene
EEF1B2P4,ENSG00000257119,106901283,106901984,-1,1,43.73,processed_pseudogene
EEF1B2P5,ENSG00000225121,63480134,63481876,1,1,40.33,unprocessed_pseudogene
EEF1B2P6,ENSG00000213261,131661952,131662624,-1,1,46.66,processed_pseudogene
EEF1B2P7,ENSG00000213055,232729523,232730198,-1,1,44.08,processed_pseudogene
EEF1B2P8,ENSG00000230497,175059361,175060031,-1,1,44.26,processed_pseudogene
EEF1D,"ENSG00000273594, ENSG00000104529",143579697,"143597744, 143599541",-1,"47, 56","60.76, 61.99",protein_coding
EEF1DP1,ENSG00000228887,14070342,14071237,1,1,59.82,processed_pseudogene
EEF1DP2,ENSG00000226721,92836826,92837668,-1,1,58.72,processed_pseudogene
EEF1DP3,ENSG00000229715,31952580,31953361,1,1,59.46,transcribed_unprocessed_pseudogene
EEF1DP4,ENSG00000213640,64862999,64864370,1,1,52.62,processed_pseudogene
EEF1DP5,ENSG00000213130,128580113,128580884,-1,1,58.29,processed_pseudogene
EEF1DP6,ENSG00000229280,4175528,4175899,-1,1,56.99,processed_pseudogene
EEF1DP7,ENSG00000263883,63636601,63637113,1,1,55.75,transcribed_processed_pseudogene
EEF1DP8,ENSG00000236607,62169293,62169828,1,1,57.28,processed_pseudogene
EEF1E1,ENSG00000124802,8073360,8102578,-1,6,39.63,protein_coding
EEF1E1-BLOC1S5,ENSG00000265818,8015726,8102530,-1,1,40.2,protein_coding
EEF1E1P1,ENSG00000236307,111887914,111888741,1,1,43.96,processed_pseudogene
EEF1G,ENSG00000254772,62559601,62574086,-1,4,47.78,protein_coding
EEF1GP1,ENSG00000186676,125033453,125035301,1,1,47.05,processed_pseudogene
EEF1GP2,ENSG00000250346,147922179,147923421,1,1,50.28,processed_pseudogene
EEF1GP3,ENSG00000226845,40596207,40597494,-1,1,50.93,processed_pseudogene
EEF1GP4,ENSG00000240138,161324913,161326219,-1,1,48.66,processed_pseudogene
EEF1GP5,ENSG00000234785,115702811,115704120,1,1,51.98,processed_pseudogene
EEF1GP6,ENSG00000216518,96750824,96751728,1,1,44.64,processed_pseudogene
EEF1GP7,ENSG00000236290,52573114,52573816,1,1,49.5,processed_pseudogene
EEF1GP8,ENSG00000234125,129903010,129904163,1,1,51.39,processed_pseudogene
EEF2,ENSG00000167658,3976056,3985469,-1,7,59.53,protein_coding
EEF2K,"ENSG00000103319, ENSG00000284161","22206282, 21992614","22288732, 22075077","1, -1","4, 2",47.84,protein_coding
EEF2KMT,ENSG00000118894,5084304,5097808,-1,9,53.82,protein_coding
EEFSEC,"ENSG00000132394, ENSG00000284869","128153454, 128160361","128408646, 128415576",1,4,"47.87, 47.88",protein_coding
EEPD1,ENSG00000122547,36153149,36301543,1,5,45.46,protein_coding
EFCAB1,ENSG00000034239,48710789,48735311,-1,9,40.09,protein_coding
EFCAB10,ENSG00000185055,105565120,105600875,-1,6,43.1,protein_coding
EFCAB11,ENSG00000140025,89794669,89954777,-1,13,40,protein_coding
EFCAB12,ENSG00000172771,129401321,129428651,-1,5,49.22,protein_coding
EFCAB13,ENSG00000178852,47323290,47441312,1,13,37.82,protein_coding
EFCAB14,ENSG00000159658,46675159,46719064,-1,6,40.17,protein_coding
EFCAB14-AS1,ENSG00000228237,46674036,46692098,1,2,39.77,antisense
EFCAB14P1,ENSG00000228348,35122022,35122484,1,1,46.87,processed_pseudogene
EFCAB2,ENSG00000203666,244969705,245127164,1,16,42.37,protein_coding
EFCAB3,ENSG00000172421,62343941,62416479,1,6,40.21,protein_coding
EFCAB5,ENSG00000176927,29929200,30108452,1,13,39.39,protein_coding
EFCAB6,ENSG00000186976,43528744,43812337,-1,10,42.97,protein_coding
EFCAB6-AS1,ENSG00000223843,43516107,43537117,1,1,49.37,antisense
EFCAB7,ENSG00000203965,63523372,63572693,1,6,35.15,protein_coding
EFCAB8,ENSG00000215529,32858923,32961609,1,4,46.92,protein_coding
EFCAB9,ENSG00000214360,172194172,172203452,1,1,45.87,protein_coding
EFCC1,ENSG00000114654,129001629,129040742,1,2,52.49,protein_coding
EFEMP1,ENSG00000115380,55865967,55924139,-1,14,37.96,protein_coding
EFEMP2,ENSG00000172638,65866441,65873592,-1,20,60.57,protein_coding
EFHB,ENSG00000163576,19879472,19947025,-1,7,40.39,protein_coding
EFHC1,ENSG00000096093,52362123,52529886,1,39,41.58,protein_coding
EFHC2,ENSG00000183690,44147882,44343672,-1,2,39.92,protein_coding
EFHD1,ENSG00000115468,232606057,232682781,1,7,48.71,protein_coding
EFHD2,ENSG00000142634,15409895,15430343,1,2,56.77,protein_coding
EFL1,ENSG00000140598,82130230,82262763,-1,11,38.04,protein_coding
EFL1P1,ENSG00000259404,84080168,84126604,1,4,38.06,transcribed_unprocessed_pseudogene
EFL1P2,ENSG00000248998,65142703,65145763,-1,1,33.81,processed_pseudogene
EFNA1,ENSG00000169242,155127460,155134857,1,5,54.81,protein_coding
EFNA2,ENSG00000099617,1286154,1300237,1,1,64.19,protein_coding
EFNA3,ENSG00000143590,155078872,155087538,1,3,63.23,protein_coding
EFNA4,ENSG00000243364,155063731,155069553,1,3,54.15,protein_coding
EFNA5,ENSG00000184349,107376889,107670895,-1,6,38.27,protein_coding
EFNB1,ENSG00000090776,68828997,68842147,1,1,56.43,protein_coding
EFNB2,ENSG00000125266,106489731,106535662,-1,3,41.29,protein_coding
EFNB3,ENSG00000108947,7705202,7711378,1,1,58.09,protein_coding
EFR3A,ENSG00000132294,131904088,132013642,1,8,35.32,protein_coding
EFR3B,ENSG00000084710,25042130,25159137,1,5,48.38,protein_coding
EFS,ENSG00000100842,23356402,23365752,-1,3,54.28,protein_coding
EFTUD2,ENSG00000108883,44849943,44899662,-1,26,46.25,protein_coding
EGF,ENSG00000138798,109912884,110012266,1,12,39.15,protein_coding
EGFEM1P,ENSG00000206120,168249522,168830599,1,13,36.09,transcribed_unitary_pseudogene
EGFL6,ENSG00000198759,13569605,13633575,1,3,40.93,protein_coding
EGFL7,ENSG00000172889,136658856,136672678,1,7,67.31,protein_coding
EGFL8,"ENSG00000241404, ENSG00000239974, ENSG00000242038, ENSG00000240389, ENSG00000244444, ENSG00000243897, ENSG00000240592","32164583, 32172254, 32113054, 32231591, 32122191, 32203996, 32241011","32168281, 32175953, 32116752, 32235290, 32125889, 32207669, 32244709",1,6,"55.93, 55.92, 55.96, 55.91",protein_coding
EGFLAM,ENSG00000164318,38258409,38465021,1,11,42.6,protein_coding
EGFLAM-AS1,ENSG00000249491,38425036,38427376,-1,1,44.98,antisense
EGFLAM-AS2,ENSG00000248572,38399814,38403413,-1,2,39.03,antisense
EGFLAM-AS3,ENSG00000249071,38345347,38346551,-1,1,41.08,antisense
EGFLAM-AS4,ENSG00000248730,38282264,38290986,-1,1,42.02,antisense
EGFR,ENSG00000146648,55019021,55211628,1,11,44.57,protein_coding
EGFR-AS1,ENSG00000224057,55179750,55188934,-1,1,50.41,antisense
EGLN1,ENSG00000135766,231363751,231425044,-1,2,39.65,protein_coding
EGLN1P1,ENSG00000254779,84633874,84634635,1,1,57.74,transcribed_processed_pseudogene
EGLN2,ENSG00000269858,40798996,40808433,1,18,59.14,protein_coding
EGLN3,ENSG00000129521,33924231,34462774,-1,11,41.68,protein_coding
EGLN3-AS1,ENSG00000258897,34040097,34059300,1,1,42.56,antisense
EGLN3P1,ENSG00000256134,15971890,15972609,-1,1,49.86,processed_pseudogene
EGOT,ENSG00000235947,4749192,4751590,-1,1,44.64,lincRNA
EGR1,ENSG00000120738,138465490,138469315,1,1,56.56,protein_coding
EGR2,ENSG00000122877,62811996,62919900,-1,6,42.64,protein_coding
EGR3,ENSG00000179388,22687659,22693302,-1,5,55.71,protein_coding
EGR4,ENSG00000135625,73290929,73293705,-1,2,65.11,protein_coding
EHBP1,ENSG00000115504,62673851,63046487,1,20,36.7,protein_coding
EHBP1L1,ENSG00000173442,65576038,65592650,1,11,60.62,protein_coding
EHD1,ENSG00000110047,64851642,64888296,-1,13,54.84,protein_coding
EHD2,ENSG00000024422,47713343,47743134,1,5,52.96,protein_coding
EHD3,ENSG00000013016,31234337,31269447,1,1,50.13,protein_coding
EHD4,ENSG00000103966,41895939,41972578,-1,2,47.11,protein_coding
EHD4-AS1,ENSG00000259883,41921417,41928883,1,1,45.33,antisense
EHF,ENSG00000135373,34621093,34661057,1,12,43.81,protein_coding
EHHADH,ENSG00000113790,185190624,185281990,-1,6,39.78,protein_coding
EHHADH-AS1,ENSG00000223358,185162871,185191955,1,2,42.55,antisense
EHMT1,ENSG00000181090,137618963,137870016,1,52,49.25,protein_coding
EHMT2,"ENSG00000236759, ENSG00000227333, ENSG00000224143, ENSG00000238134, ENSG00000206376, ENSG00000232045, ENSG00000204371","31867303, 31861940, 31872446, 31956231, 31870139, 31946781, 31879759","31885231, 31879868, 31882289, 31974166, 31888078, 31964716, 31897687",-1,"12, 10","53.82, 57.59, 53.79, 53.84, 53.78",protein_coding
EHMT2-AS1,ENSG00000237080,31877808,31884204,1,2,57.71,antisense
EI24,ENSG00000149547,125569216,125584687,1,14,43.49,protein_coding
EI24P1,ENSG00000236357,176068042,176068908,-1,1,45.33,processed_pseudogene
EI24P2,ENSG00000236257,158454198,158455273,1,1,45.45,processed_pseudogene
EI24P3,"ENSG00000214825, ENSG00000280781",44524744,44525805,-1,1,47.46,processed_pseudogene
EI24P4,ENSG00000236343,145005058,145006135,1,1,45.92,processed_pseudogene
EID1,ENSG00000255302,48877886,48880183,1,2,41.64,protein_coding
EID2,ENSG00000176396,39538705,39540333,-1,1,51.5,protein_coding
EID2B,ENSG00000176401,39530990,39532854,-1,2,48.95,protein_coding
EID3,ENSG00000255150,104303739,104305205,1,1,44.72,protein_coding
EIF1,ENSG00000173812,41688885,41692668,1,7,49.15,protein_coding
EIF1AD,ENSG00000175376,65996545,66002176,-1,11,48.54,protein_coding
EIF1AX,ENSG00000173674,20124518,20141844,-1,2,38.58,protein_coding
EIF1AX-AS1,ENSG00000225037,20139968,20140444,1,1,38.57,antisense
EIF1AXP1,ENSG00000236698,16685621,16686055,-1,1,38.62,processed_pseudogene
EIF1AXP2,ENSG00000258980,65528830,65529574,-1,1,40.13,processed_pseudogene
EIF1AY,ENSG00000198692,20575725,20593154,1,5,35.64,protein_coding
EIF1B,ENSG00000114784,40309684,40312424,1,4,41.77,protein_coding
EIF1B-AS1,ENSG00000280739,40173145,40309698,-1,6,41.23,processed_transcript
EIF1P1,ENSG00000229875,659986,660326,1,1,42.23,processed_pseudogene
EIF1P2,ENSG00000235549,38958275,38958925,-1,1,44.85,processed_pseudogene
EIF1P3,ENSG00000231684,182336001,182336334,1,1,43.71,processed_pseudogene
EIF1P4,"ENSG00000262154, ENSG00000282845",2822659,2822993,-1,1,45.67,processed_pseudogene
EIF1P5,ENSG00000266563,21259968,21260501,-1,1,49.25,unprocessed_pseudogene
EIF1P6,ENSG00000267938,4347780,4349061,-1,1,49.06,unprocessed_pseudogene
EIF1P7,ENSG00000213772,9271292,9271628,-1,1,44.21,processed_pseudogene
EIF2A,ENSG00000144895,150546678,150584242,1,16,37.58,protein_coding
EIF2AK1,ENSG00000086232,6022244,6059230,-1,10,44.7,protein_coding
EIF2AK2,ENSG00000055332,37099210,37157065,-1,8,41.14,protein_coding
EIF2AK3,ENSG00000172071,88556741,88627576,-1,6,38.57,protein_coding
EIF2AK4,ENSG00000128829,39934146,40035591,1,11,40.17,protein_coding
EIF2AP4,ENSG00000227395,44806443,44808223,1,1,39.02,processed_pseudogene
EIF2B1,ENSG00000111361,123620406,123633766,-1,6,45.42,protein_coding
EIF2B2,ENSG00000119718,75002911,75012366,1,7,44.08,protein_coding
EIF2B3,ENSG00000070785,44850522,44986722,-1,10,42.55,protein_coding
EIF2B4,ENSG00000115211,27364352,27370486,-1,12,50.64,protein_coding
EIF2B5,ENSG00000145191,184135038,184146112,1,32,48.67,protein_coding
EIF2D,ENSG00000143486,206571292,206612463,-1,11,46.17,protein_coding
EIF2S1,ENSG00000134001,67359997,67386516,1,6,37.7,protein_coding
EIF2S2,ENSG00000125977,34088298,34112332,-1,1,42.27,protein_coding
EIF2S2P2,ENSG00000229704,185245460,185246441,-1,1,39,processed_pseudogene
EIF2S2P3,ENSG00000236493,92668745,92669743,-1,1,40.04,processed_pseudogene
EIF2S2P4,ENSG00000128692,170751805,170752788,1,1,39.94,processed_pseudogene
EIF2S2P5,ENSG00000225650,114468315,114469282,1,1,38.64,processed_pseudogene
EIF2S3,ENSG00000130741,24054716,24077971,1,5,41.58,protein_coding
EIF2S3B,ENSG00000180574,10505602,10523135,1,2,35.61,protein_coding
EIF3A,ENSG00000107581,119033670,119080823,-1,3,41.68,protein_coding
EIF3B,ENSG00000106263,2354086,2380745,1,12,51.61,protein_coding
EIF3C,ENSG00000184110,28688558,28735730,1,14,48.48,protein_coding
EIF3CL,ENSG00000205609,28379579,28403879,-1,2,47.26,protein_coding
EIF3D,ENSG00000100353,36510850,36529436,-1,12,47.04,protein_coding
EIF3E,ENSG00000104408,108201216,108435333,-1,18,37.25,protein_coding
EIF3EP1,ENSG00000234882,73291962,73293277,1,1,39.97,processed_pseudogene
EIF3EP2,ENSG00000224674,162088259,162090072,1,1,40.74,processed_pseudogene
EIF3F,"ENSG00000175390, ENSG00000280606","7970251, 7980377","8001862, 8011988",1,9,41.38,protein_coding
EIF3FP1,ENSG00000275945,10330732,10331537,1,1,49.63,processed_pseudogene
EIF3FP3,ENSG00000233426,58251440,58252525,1,1,56.08,processed_pseudogene
EIF3G,ENSG00000130811,10115017,10119918,-1,15,59.24,protein_coding
EIF3H,ENSG00000147677,116642130,116766925,-1,12,37.79,protein_coding
EIF3I,ENSG00000084623,32221928,32231604,1,6,50.5,protein_coding
EIF3IP1,ENSG00000237064,109959218,109960184,-1,1,47.98,processed_pseudogene
EIF3J,ENSG00000104131,44537057,44563029,1,7,42.09,protein_coding
